,country,year,sex,age,suicides_no,population,suicides_per_100k_pop,country_year,HDI_for_year,gdp_for_year,gdp_per_capita,generation
1,Antigua and Barbuda,2012,female,15-24 years,0,8435,0.0,Antigua and Barbuda2012,0.781,1211411704,13657,Millenials
2,Antigua and Barbuda,2012,female,25-34 years,0,7215,0.0,Antigua and Barbuda2012,0.781,1211411704,13657,Millenials
3,Antigua and Barbuda,2012,female,35-54 years,0,15193,0.0,Antigua and Barbuda2012,0.781,1211411704,13657,Generation X
4,Antigua and Barbuda,2012,female,5-14 years,0,8401,0.0,Antigua and Barbuda2012,0.781,1211411704,13657,Generation Z
5,Antigua and Barbuda,2012,female,55-74 years,0,5512,0.0,Antigua and Barbuda2012,0.781,1211411704,13657,Boomers
6,Antigua and Barbuda,2012,female,75+ years,0,1625,0.0,Antigua and Barbuda2012,0.781,1211411704,13657,Silent
7,Antigua and Barbuda,2012,male,15-24 years,0,7893,0.0,Antigua and Barbuda2012,0.781,1211411704,13657,Millenials
8,Antigua and Barbuda,2012,male,25-34 years,0,6629,0.0,Antigua and Barbuda2012,0.781,1211411704,13657,Millenials
9,Antigua and Barbuda,2012,male,35-54 years,0,13280,0.0,Antigua and Barbuda2012,0.781,1211411704,13657,Generation X
10,Antigua and Barbuda,2012,male,5-14 years,0,8475,0.0,Antigua and Barbuda2012,0.781,1211411704,13657,Generation Z
11,Antigua and Barbuda,2012,male,55-74 years,0,4994,0.0,Antigua and Barbuda2012,0.781,1211411704,13657,Boomers
12,Antigua and Barbuda,2012,male,75+ years,0,1051,0.0,Antigua and Barbuda2012,0.781,1211411704,13657,Silent
13,Antigua and Barbuda,2013,female,15-24 years,0,8494,0.0,Antigua and Barbuda2013,0.781,1192925407,13287,Millenials
14,Antigua and Barbuda,2013,female,25-34 years,0,7397,0.0,Antigua and Barbuda2013,0.781,1192925407,13287,Millenials
15,Antigua and Barbuda,2013,female,35-54 years,0,15236,0.0,Antigua and Barbuda2013,0.781,1192925407,13287,Generation X
16,Antigua and Barbuda,2013,female,5-14 years,0,8353,0.0,Antigua and Barbuda2013,0.781,1192925407,13287,Generation Z
17,Antigua and Barbuda,2013,female,55-74 years,0,5787,0.0,Antigua and Barbuda2013,0.781,1192925407,13287,Boomers
18,Antigua and Barbuda,2013,female,75+ years,0,1652,0.0,Antigua and Barbuda2013,0.781,1192925407,13287,Silent
19,Antigua and Barbuda,2013,male,15-24 years,0,8061,0.0,Antigua and Barbuda2013,0.781,1192925407,13287,Millenials
20,Antigua and Barbuda,2013,male,25-34 years,0,6782,0.0,Antigua and Barbuda2013,0.781,1192925407,13287,Millenials
21,Antigua and Barbuda,2013,male,35-54 years,0,13302,0.0,Antigua and Barbuda2013,0.781,1192925407,13287,Generation X
22,Antigua and Barbuda,2013,male,5-14 years,0,8405,0.0,Antigua and Barbuda2013,0.781,1192925407,13287,Generation Z
23,Antigua and Barbuda,2013,male,55-74 years,0,5238,0.0,Antigua and Barbuda2013,0.781,1192925407,13287,Boomers
24,Antigua and Barbuda,2013,male,75+ years,0,1072,0.0,Antigua and Barbuda2013,0.781,1192925407,13287,Silent
25,Antigua and Barbuda,2014,female,15-24 years,0,8537,0.0,Antigua and Barbuda2014,0.783,1280133333,14093,Millenials
26,Antigua and Barbuda,2014,female,25-34 years,0,7578,0.0,Antigua and Barbuda2014,0.783,1280133333,14093,Millenials
27,Antigua and Barbuda,2014,female,35-54 years,0,15273,0.0,Antigua and Barbuda2014,0.783,1280133333,14093,Generation X
28,Antigua and Barbuda,2014,female,5-14 years,0,8296,0.0,Antigua and Barbuda2014,0.783,1280133333,14093,Generation Z
29,Antigua and Barbuda,2014,female,55-74 years,0,6085,0.0,Antigua and Barbuda2014,0.783,1280133333,14093,Boomers
30,Antigua and Barbuda,2014,female,75+ years,0,1686,0.0,Antigua and Barbuda2014,0.783,1280133333,14093,Silent
31,Antigua and Barbuda,2014,male,15-24 years,0,8208,0.0,Antigua and Barbuda2014,0.783,1280133333,14093,Millenials
32,Antigua and Barbuda,2014,male,25-34 years,0,6928,0.0,Antigua and Barbuda2014,0.783,1280133333,14093,Millenials
33,Antigua and Barbuda,2014,male,35-54 years,0,13325,0.0,Antigua and Barbuda2014,0.783,1280133333,14093,Generation X
34,Antigua and Barbuda,2014,male,5-14 years,0,8335,0.0,Antigua and Barbuda2014,0.783,1280133333,14093,Generation Z
35,Antigua and Barbuda,2014,male,55-74 years,0,5503,0.0,Antigua and Barbuda2014,0.783,1280133333,14093,Boomers
36,Antigua and Barbuda,2014,male,75+ years,0,1083,0.0,Antigua and Barbuda2014,0.783,1280133333,14093,Silent
37,Argentina,2012,male,75+ years,225,688560,32.68,Argentina2012,0.831,545982375701,14203,Silent
38,Argentina,2012,male,15-24 years,745,3480902,21.4,Argentina2012,0.831,545982375701,14203,Millenials
39,Argentina,2012,male,25-34 years,616,3268154,18.85,Argentina2012,0.831,545982375701,14203,Millenials
40,Argentina,2012,male,55-74 years,451,2839783,15.88,Argentina2012,0.831,545982375701,14203,Boomers
41,Argentina,2012,male,35-54 years,554,4841057,11.44,Argentina2012,0.831,545982375701,14203,Generation X
42,Argentina,2012,female,15-24 years,204,3380770,6.03,Argentina2012,0.831,545982375701,14203,Millenials
43,Argentina,2012,female,35-54 years,164,4993138,3.28,Argentina2012,0.831,545982375701,14203,Generation X
